Gene_Name,homologous_superfamily,name
OR9G4,,
OR6Q1,,
GLI4,['IPR036236'],['Zinc finger C2H2 superfamily']
OR9Q1,,
SCYL3,"['IPR011009', 'IPR011989']","['Protein kinase-like domain superfamily', 'Armadillo-like helical']"
GLI2,['IPR036236'],['Zinc finger C2H2 superfamily']
POU2F2,['IPR009057'],['Homeobox-like domain superfamily']
GLI3,,
OR9I1,,
KRTAP10-2,,
SHISA9,,
KRTAP10-3,,
GLDC,"['IPR015421', 'IPR015422', 'IPR015424']","['Pyridoxal phosphate-dependent transferase, major domain', 'Pyridoxal phosphate-dependent transferase domain 1', 'Pyridoxal phosphate-dependent transferase']"
LIN9,,
OR10X1,,
OR6K3,,
OR10Z1,,
,,
OR6K2,,
OR10J6P,,
OR6N1,,
ATP2C2,"['IPR008250', 'IPR023214', 'IPR023298', 'IPR036412']","['P-type ATPase, A domain superfamily', 'HAD superfamily', 'P-type ATPase, transmembrane domain superfamily', 'HAD-like superfamily']"
OR6N2,,
RHEX,,
ARHGEF37,"['IPR027267', 'IPR036028']","['AH/BAR domain superfamily', 'SH3-like domain superfamily']"
XYLB,['IPR043129'],"['ATPase, nucleotide binding domain']"
OR6Y1,,
PEX11A,,
OR6P1,,
PELP1,['IPR016024'],['Armadillo-type fold']
CDK20,['IPR011009'],['Protein kinase-like domain superfamily']
DNAJB6,['IPR036869'],['Chaperone J-domain superfamily']
TMPRSS11F,"['IPR009003', 'IPR036364', 'IPR043504']","['Peptidase S1, PA clan', 'SEA domain superfamily', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
RNASE4,['IPR036816'],['Ribonuclease A-like domain superfamily']
CACNG7,,
LYZ,['IPR023346'],['Lysozyme-like domain superfamily']
BLCAP,,
RANGAP1,"['IPR032675', 'IPR036720']","['Leucine-rich repeat domain superfamily', 'Ran-GTPase activating protein 1, C-terminal domain superfamily']"
RECQL,"['IPR027417', 'IPR036388']","['P-loop containing nucleoside triphosphate hydrolase', 'Winged helix-like DNA-binding domain superfamily']"
ANKRD17,['IPR036770'],['Ankyrin repeat-containing domain superfamily']
OR2T35,,
OR1S1,,
OR10T2,,
OR1L3,,
OR11L1,,
SS18L1,,
OR5AK2,,
OR2T34,,
OR10R2,,
CNOT3,['IPR038635'],"['CCR4-NOT complex subunit 2/3/5, N-terminal domain superfamily']"
OR1L1,,
ADAMTS4,"['IPR024079', 'IPR036383']","['Metallopeptidase, catalytic domain superfamily', 'Thrombospondin type-1 (TSP1) repeat superfamily']"
MAML2,,
OR10K1,,
ATP5MC2,"['IPR035921', 'IPR038662']","['F/V-ATP synthase subunit C superfamily', 'F1F0 ATP synthase subunit C superfamily']"
OR13C6P,,
SIN3B,,
OR5AK3P,,
CYP4V2,,
OR9G1,,
MCOLN2,,
COX19,['IPR009069'],['Cysteine alpha-hairpin motif superfamily']
SLC15A1,['IPR036259'],['MFS transporter superfamily']
CCT8,"['IPR027409', 'IPR027410', 'IPR027413']","['GroEL-like apical domain superfamily', 'TCP-1-like chaperonin intermediate domain superfamily', 'GroEL-like equatorial domain superfamily']"
FUT4,['IPR038577'],['GT10-like superfamily']
CCT4,"['IPR027409', 'IPR027410', 'IPR027413']","['GroEL-like apical domain superfamily', 'TCP-1-like chaperonin intermediate domain superfamily', 'GroEL-like equatorial domain superfamily']"
FUT2,,
FBL,,
OR6B3,,
OR10G6,,
JADE1,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
RFPL4B,"['IPR013083', 'IPR013320', 'IPR043136']","['Zinc finger, RING/FYVE/PHD-type', 'Concanavalin A-like lectin/glucanase domain superfamily', 'B30.2/SPRY domain superfamily']"
PHACTR2,,
RORA,['IPR035500'],['Nuclear hormone receptor-like domain superfamily']
OR10D3,,
OR5R1,,
KDM4A,,
DNAJC13,['IPR011989'],['Armadillo-like helical']
ATP1A2,['IPR023298'],"['P-type ATPase, transmembrane domain superfamily']"
OR6K6,,
OR4A5,,
ANXA11,,
OR6X1,,
CPAMD8,"['IPR008930', 'IPR013783', 'IPR014756', 'IPR036058', 'IPR036595']","['Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid', 'Immunoglobulin-like fold', 'Immunoglobulin E-set', 'Kazal domain superfamily', 'Alpha-macroglobulin, receptor-binding domain superfamily']"
RGL4,"['IPR023578', 'IPR036964']","['Ras guanine nucleotide exchange factor domain superfamily', 'Ras guanine-nucleotide exchange factor catalytic domain superfamily']"
OR5H6,,
OR56B4,,
PPP6R2,,
OR5H2,,
TDH,,
GPR139,,
LPO,"['IPR010255', 'IPR037120']","['Haem peroxidase superfamily', 'Haem peroxidase domain superfamily, animal type']"
RPS27A,"['IPR011332', 'IPR029071', 'IPR038582']","['Zinc-binding ribosomal protein', 'Ubiquitin-like domain superfamily', 'S27a-like superfamily']"
ST8SIA6,,
KRTAP12-4,,
SOCS5,['IPR036036'],['SOCS box-like domain superfamily']
TSC22D2,,
OR2Y1,,
OR4A16,,
SESN2,['IPR029032'],['AhpD-like']
GALNS,['IPR017850'],"['Alkaline-phosphatase-like, core domain superfamily']"
SESN3,,
CAND2,"['IPR011989', 'IPR016024']","['Armadillo-like helical', 'Armadillo-type fold']"
KCP,['IPR036084'],['Serine protease inhibitor-like superfamily']
CLUH,,
RPS4Y1,"['IPR014722', 'IPR038237']","['Ribosomal protein L2, domain 2', 'Ribosomal protein S4e, central domain superfamily']"
OR10A6,,
RAB11FIP3,"['IPR011992', 'IPR037245']","['EF-hand domain pair', 'FIP-RBD, C-terminal domain superfamily']"
OR13D1,,
OR4C6,,
PHF2,"['IPR011011', 'IPR013083']","['Zinc finger, FYVE/PHD-type', 'Zinc finger, RING/FYVE/PHD-type']"
IFNL2,['IPR038326'],['Interferon lambda superfamily']
OR4S2,,
ZC3H11A,,
ITIH3,['IPR036465'],['von Willebrand factor A-like domain superfamily']
UNC5B,"['IPR011029', 'IPR013783', 'IPR036179', 'IPR036383']","['Death-like domain superfamily', 'Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily', 'Thrombospondin type-1 (TSP1) repeat superfamily']"
OR52I2,,
NPHP4,,
STXBP4,,
GPR150,,
FOXL2,"['IPR036388', 'IPR036390']","['Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily']"
OR5W2,,
UBA52,"['IPR029071', 'IPR038587']","['Ubiquitin-like domain superfamily', 'Ribosomal protein L40e superfamily']"
IFNL3,['IPR038326'],['Interferon lambda superfamily']
NANOS3,['IPR038129'],['Nanos domain superfamily']
NANOS2,['IPR038129'],['Nanos domain superfamily']
KRTAP12-3,,
RPL8,"['IPR008991', 'IPR012340', 'IPR014722', 'IPR014726']","['Translation protein SH3-like domain superfamily', 'Nucleic acid-binding, OB-fold', 'Ribosomal protein L2, domain 2', 'Ribosomal protein L2, domain 3']"
CD59,,
HRES1,,
GTF2F2,"['IPR011039', 'IPR036388', 'IPR036390']","['Transcription Factor IIF, Rap30/Rap74, interaction', 'Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily']"
SMIM24,,
SPRTN,,
ZNF549,,
RPL32,['IPR036351'],['Ribosomal protein L32e superfamily']
SNRPA,"['IPR012677', 'IPR035979']","['Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily']"
RPL11,['IPR022803'],['Ribosomal protein L5 domain superfamily']
HOXD4,,
NFKBIA,['IPR036770'],['Ankyrin repeat-containing domain superfamily']
HOXC4,['IPR009057'],['Homeobox-like domain superfamily']
RPS26P11,,
ZNF311,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
CCDC130,,
MTHFD2,['IPR036291'],['NAD(P)-binding domain superfamily']
NDUFS7,,
OR2T2,,
INTS5,,
TLDC1,,
PRSS3P2,"['IPR009003', 'IPR043504']","['Peptidase S1, PA clan', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
KDM2B,"['IPR011011', 'IPR013083', 'IPR032675']","['Zinc finger, FYVE/PHD-type', 'Zinc finger, RING/FYVE/PHD-type', 'Leucine-rich repeat domain superfamily']"
PIM1,['IPR011009'],['Protein kinase-like domain superfamily']
DNAJC14,['IPR036869'],['Chaperone J-domain superfamily']
PPIA,['IPR029000'],['Cyclophilin-like domain superfamily']
ERG,"['IPR036388', 'IPR036390']","['Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily']"
FAM74A3,"['IPR036388', 'IPR036390']","['Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily']"
CDKN1C,,
LIG4,"['IPR012340', 'IPR036420', 'IPR036599']","['Nucleic acid-binding, OB-fold', 'BRCT domain superfamily', 'DNA ligase, ATP-dependent, N-terminal domain superfamily']"
LIG3,"['IPR036420', 'IPR036599', 'IPR036957']","['BRCT domain superfamily', 'DNA ligase, ATP-dependent, N-terminal domain superfamily', 'Zinc finger, PARP-type superfamily']"
GMPS,"['IPR014729', 'IPR029062']","['Rossmann-like alpha/beta/alpha sandwich fold', 'Class I glutamine amidotransferase-like']"
ANO1,,
CCER2,,
ZNF165,"['IPR036236', 'IPR038269']","['Zinc finger C2H2 superfamily', 'SCAN domain superfamily']"
LILRB1,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
CD40,,
MTHFS,"['IPR024185', 'IPR037171']","['5-formyltetrahydrofolate cyclo-ligase-like domain superfamily', 'NagB/RpiA transferase-like']"
HSPE1,"['IPR011032', 'IPR037124']","['GroES-like superfamily', 'GroES chaperonin superfamily']"
CAMP,,
COL5A3,['IPR013320'],['Concanavalin A-like lectin/glucanase domain superfamily']
NCALD,['IPR011992'],['EF-hand domain pair']
SEC61A1,['IPR023201'],['SecY domain superfamily']
MTFR1L,,
BMP4,['IPR029034'],['Cystine-knot cytokine']
ZNF530,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
GALNT18,,
SLC22A4,['IPR036259'],['MFS transporter superfamily']
BMP2,['IPR029034'],['Cystine-knot cytokine']
BMP3,['IPR029034'],['Cystine-knot cytokine']
ADAM19,"['IPR024079', 'IPR036436']","['Metallopeptidase, catalytic domain superfamily', 'Disintegrin domain superfamily']"
ACADM,"['IPR009100', 'IPR036250', 'IPR037069']","['Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily', 'Acyl-CoA dehydrogenase-like, C-terminal', 'Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily']"
SELENOP,,
MRPL3,['IPR009000'],"['Translation protein, beta-barrel domain superfamily']"
RPL41,,
KIR2DL5B,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
SEPHS1,"['IPR036676', 'IPR036921']","['PurM-like, C-terminal domain superfamily', 'PurM-like, N-terminal domain superfamily']"
NT5C2,"['IPR023214', 'IPR036412']","['HAD superfamily', 'HAD-like superfamily']"
SMCP,,
FKBP1A,,
ANOS1,"['IPR013783', 'IPR036116', 'IPR036645']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily', 'Elafin-like superfamily']"
PTDSS1,,
GGCT,['IPR036568'],['Gamma-glutamyl cyclotransferase-like superfamily']
LRRC8B,,
TRIM40,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
DNAJB8,['IPR036869'],['Chaperone J-domain superfamily']
LSG1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
BCKDHA,['IPR029061'],['Thiamin diphosphate-binding fold']
CLDND2,,
CCDC62,,
LYPD6B,,
TERB2,,
PPTC7,['IPR036457'],['PPM-type phosphatase domain superfamily']
MIS12,,
NFKBID,['IPR036770'],['Ankyrin repeat-containing domain superfamily']
PATJ,"['IPR036034', 'IPR036892']","['PDZ superfamily', 'L27 domain superfamily']"
OR8G2P,,
RAB33B,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
WDR36,"['IPR015943', 'IPR036322']","['WD40/YVTN repeat-like-containing domain superfamily', 'WD40-repeat-containing domain superfamily']"
UPK3BL2,,
NMU,,
PFN4,['IPR036140'],['Profilin superfamily']
CCT5,"['IPR027409', 'IPR027410', 'IPR027413']","['GroEL-like apical domain superfamily', 'TCP-1-like chaperonin intermediate domain superfamily', 'GroEL-like equatorial domain superfamily']"
CYB5D1,"['IPR027409', 'IPR027410', 'IPR027413']","['GroEL-like apical domain superfamily', 'TCP-1-like chaperonin intermediate domain superfamily', 'GroEL-like equatorial domain superfamily']"
SSH2,['IPR029021'],['Protein-tyrosine phosphatase-like']
SPRR1A,,
CLPB,['IPR036770'],['Ankyrin repeat-containing domain superfamily']
TMEM154,,
SPRR2A,,
KATNBL1,,
SPRR2B,,
PAIP1,"['IPR016021', 'IPR016024']","['MIF4G-like domain superfamily', 'Armadillo-type fold']"
MCFD2,['IPR011992'],['EF-hand domain pair']
OR2A2,,
CEP70,,
THOC2,,
PRRC2A,,
LINC01006,,
RASSF8,['IPR029071'],['Ubiquitin-like domain superfamily']
HOXB5,['IPR009057'],['Homeobox-like domain superfamily']
DDX55,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
FBXO27,"['IPR008979', 'IPR036047']","['Galactose-binding-like domain superfamily', 'F-box-like domain superfamily']"
GSS,"['IPR014042', 'IPR014049', 'IPR016185', 'IPR037013']","['Glutathione synthase, alpha-helical', 'Glutathione synthase, N-terminal, eukaryotic', 'Pre-ATP-grasp domain superfamily', 'Glutathione synthase, substrate-binding domain superfamily']"
COQ9,,
ADM,,
ENTPD1,,
TMEM127,,
NPIPB7,,
DRC3,,
AKR7L,['IPR036812'],['NADP-dependent oxidoreductase domain superfamily']
MAF1,['IPR038564'],['Repressor of RNA polymerase III transcription Maf1 superfamily']
MRE11,"['IPR029052', 'IPR038487']","['Metallo-dependent phosphatase-like', 'Mre11, DNA-binding domain superfamily']"
RPL14,"['IPR008991', 'IPR014722']","['Translation protein SH3-like domain superfamily', 'Ribosomal protein L2, domain 2']"
MOSPD2,['IPR013783'],['Immunoglobulin-like fold']
TMEM126A,,
EXD1,"['IPR012337', 'IPR036397']","['Ribonuclease H-like superfamily', 'Ribonuclease H superfamily']"
IL31RA,"['IPR013783', 'IPR036116']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily']"
PLBD2,"['IPR043040', 'IPR043041', 'IPR043042']","['Phospholipase B-like, domain 1', 'Phospholipase B-like, domain 2', 'Phospholipase B-like, domain 3']"
HRC,,
NBPF9,,
FGF2,['IPR008996'],['Cytokine IL1/FGF']
NUDT1,['IPR015797'],['NUDIX hydrolase-like domain superfamily']
RPL10A,"['IPR016095', 'IPR023674']","['Ribosomal protein L1, 3-layer alpha/beta-sandwich', 'Ribosomal protein L1-like']"
FGFR1,"['IPR011009', 'IPR013783', 'IPR036179']","['Protein kinase-like domain superfamily', 'Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
NCOA7,['IPR036779'],['LysM domain superfamily']
BMP5,['IPR029034'],['Cystine-knot cytokine']
ACP1,['IPR036196'],['Phosphotyrosine protein phosphatase I superfamily']
NBPF8,['IPR036196'],['Phosphotyrosine protein phosphatase I superfamily']
NBPF1,,
KCNA3,,
NBPF9,,
BMP6,['IPR029034'],['Cystine-knot cytokine']
ABCA7,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
BLID,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
CD47,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
HLA-DRB1,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
HLA-DRB1,"['IPR011162', 'IPR013783', 'IPR014745', 'IPR036179']","['MHC classes I/II-like antigen recognition protein', 'Immunoglobulin-like fold', 'MHC class II, alpha/beta chain, N-terminal', 'Immunoglobulin-like domain superfamily']"
FAM171B,,
PDXDC1,"['IPR015421', 'IPR015424']","['Pyridoxal phosphate-dependent transferase, major domain', 'Pyridoxal phosphate-dependent transferase']"
ATP6V0E2,,
TAF1L,"['IPR036427', 'IPR036741']","['Bromodomain-like superfamily', 'TAFII-230 TBP-binding domain superfamily']"
HLA-DQA1,"['IPR011162', 'IPR013783', 'IPR014745', 'IPR036179']","['MHC classes I/II-like antigen recognition protein', 'Immunoglobulin-like fold', 'MHC class II, alpha/beta chain, N-terminal', 'Immunoglobulin-like domain superfamily']"
HLA-DQA2,"['IPR011162', 'IPR013783', 'IPR014745', 'IPR036179']","['MHC classes I/II-like antigen recognition protein', 'Immunoglobulin-like fold', 'MHC class II, alpha/beta chain, N-terminal', 'Immunoglobulin-like domain superfamily']"
CD300C,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
HLA-DRA,"['IPR011162', 'IPR013783', 'IPR014745', 'IPR036179']","['MHC classes I/II-like antigen recognition protein', 'Immunoglobulin-like fold', 'MHC class II, alpha/beta chain, N-terminal', 'Immunoglobulin-like domain superfamily']"
SNRNP48,['IPR036236'],['Zinc finger C2H2 superfamily']
DGAT2L7P,,
SLC6A19,['IPR037272'],['Sodium:neurotransmitter symporter superfamily']
TNS4,"['IPR011993', 'IPR036860']","['PH-like domain superfamily', 'SH2 domain superfamily']"
CEACAM16,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
OR10J5,,
TMEM132E,,
OR14A16,,
CMTM8,,
OR2T6,,
OR14L1P,,
OR14C36,,
SLFN12L,,
RDH10,['IPR036291'],['NAD(P)-binding domain superfamily']
MEX3A,"['IPR013083', 'IPR036612']","['Zinc finger, RING/FYVE/PHD-type', 'K Homology domain, type 1 superfamily']"
NOTUM,,
RFX6,"['IPR036388', 'IPR036390']","['Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily']"
HLA-DQB1,"['IPR011162', 'IPR013783', 'IPR014745', 'IPR036179']","['MHC classes I/II-like antigen recognition protein', 'Immunoglobulin-like fold', 'MHC class II, alpha/beta chain, N-terminal', 'Immunoglobulin-like domain superfamily']"
SLC30A10,,
NACA2,,
LHPP,"['IPR023214', 'IPR036412']","['HAD superfamily', 'HAD-like superfamily']"
ADRB3,,
COL11A2,['IPR013320'],['Concanavalin A-like lectin/glucanase domain superfamily']
MKRN2,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
NPY1R,,
MEFV,"['IPR011029', 'IPR013320', 'IPR043136']","['Death-like domain superfamily', 'Concanavalin A-like lectin/glucanase domain superfamily', 'B30.2/SPRY domain superfamily']"
KCNN4,['IPR036122'],"['SK, calmodulin-binding domain superfamily']"
PROSER3,['IPR036122'],"['SK, calmodulin-binding domain superfamily']"
PARP6,,
LILRB4,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
TSR1,,
USP17L22,['IPR038765'],['Papain-like cysteine peptidase superfamily']
ATL2,"['IPR027417', 'IPR036543']","['P-loop containing nucleoside triphosphate hydrolase', 'Guanylate-binding protein, C-terminal domain superfamily']"
ENO3,"['IPR029017', 'IPR036849']","['Enolase-like, N-terminal', 'Enolase-like, C-terminal domain superfamily']"
C2orf68,,
ANXA8L1,['IPR037104'],['Annexin superfamily']
VMAC,,
ERCC6L,"['IPR027417', 'IPR038718']","['P-loop containing nucleoside triphosphate hydrolase', 'SNF2-like, N-terminal domain superfamily']"
C3orf84,,
TTLL11,['IPR013815'],"['ATP-grasp fold, subdomain 1']"
SPACA6,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
ZNRF2,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
SVIP,,
KHDC1,['IPR036612'],"['K Homology domain, type 1 superfamily']"
C6orf229,,
TMEM81,['IPR036179'],['Immunoglobulin-like domain superfamily']
SMKR1,,
LRRC34,['IPR032675'],['Leucine-rich repeat domain superfamily']
ANKRD13A,,
TOM1L2,"['IPR008942', 'IPR038425']","['ENTH/VHS', 'GAT domain superfamily']"
CHMP4BP1,"['IPR008942', 'IPR038425']","['ENTH/VHS', 'GAT domain superfamily']"
SMAD3,"['IPR008984', 'IPR017855', 'IPR036578']","['SMAD/FHA domain superfamily', 'SMAD-like domain superfamily', 'SMAD MH1 domain superfamily']"
SEC61G,['IPR023391'],['Protein translocase SecE domain superfamily']
KLKP1,['IPR023391'],['Protein translocase SecE domain superfamily']
FBXO18,['IPR036047'],['F-box-like domain superfamily']
TNIP2,,
VN1R2,,
ZNF100,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
NLGN4Y,['IPR029058'],['Alpha/Beta hydrolase fold']
TCEAL8,,
NLGN2,['IPR029058'],['Alpha/Beta hydrolase fold']
DSC1,"['IPR015919', 'IPR027397']","['Cadherin-like superfamily', 'Catenin binding domain superfamily']"
UBALD2,,
CADM4,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
HFE2,['IPR016123'],"['Mog1/PsbP, alpha/beta/alpha sandwich']"
SEM1,,
TRIM22,['IPR043136'],['B30.2/SPRY domain superfamily']
LINC00205,['IPR043136'],['B30.2/SPRY domain superfamily']
HACD2,,
STAG3L3,,
FAM53A,,
STAG3L2,,
CXorf57,['IPR012340'],"['Nucleic acid-binding, OB-fold']"
STAG3L1,['IPR016024'],['Armadillo-type fold']
GAGE12G,,
ANKRD26P1,,
GAGE12G,,
GAGE12G,,
SEMA6D,"['IPR015943', 'IPR036352']","['WD40/YVTN repeat-like-containing domain superfamily', 'Sema domain superfamily']"
FAM186B,,
12-Sep,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
SLFN12,,
KBTBD8,['IPR011333'],['SKP1/BTB/POZ domain superfamily']
KIAA1841,,
STARD6,,
OR7G2,,
GPR65,,
NUDT18,['IPR015797'],['NUDIX hydrolase-like domain superfamily']
TSPEAR-AS2,['IPR015797'],['NUDIX hydrolase-like domain superfamily']
TMEM179,['IPR015797'],['NUDIX hydrolase-like domain superfamily']
PFN2,['IPR036140'],['Profilin superfamily']
LINC00315,['IPR036140'],['Profilin superfamily']
TMEM132B,,
LRRC8E,['IPR032675'],['Leucine-rich repeat domain superfamily']
RFX5,['IPR036390'],['Winged helix DNA-binding domain superfamily']
PHLDB3,,
MYORG,['IPR017853'],['Glycoside hydrolase superfamily']
CYCS,['IPR036909'],['Cytochrome c-like domain superfamily']
OR11H1,['IPR036909'],['Cytochrome c-like domain superfamily']
OR13H1,,
STXBP6,,
OR2Z1,,
TRMT44,,
RFX3,"['IPR036388', 'IPR036390']","['Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily']"
OR7D4,,
OR7G3,,
C1orf174,,
COLGALT2,['IPR029044'],['Nucleotide-diphospho-sugar transferases']
KIAA1549L,,
CMAS,"['IPR023214', 'IPR029044', 'IPR036412']","['HAD superfamily', 'Nucleotide-diphospho-sugar transferases', 'HAD-like superfamily']"
MYRIP,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
REM2,,
,,
RFX2,['IPR036388'],['Winged helix-like DNA-binding domain superfamily']
BTC,,
GRAMD1C,['IPR011993'],['PH-like domain superfamily']
RCOR2,['IPR009057'],['Homeobox-like domain superfamily']
IGKV1-27,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
PM20D2,,
RASEF,"['IPR011992', 'IPR027417']","['EF-hand domain pair', 'P-loop containing nucleoside triphosphate hydrolase']"
CYS1,"['IPR011992', 'IPR027417']","['EF-hand domain pair', 'P-loop containing nucleoside triphosphate hydrolase']"
IGKV2D-30,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
KIAA2013,,
IGKV1D-17,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
C16orf71,,
OSCAR,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
ZFP69,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
PPM1L,['IPR036457'],['PPM-type phosphatase domain superfamily']
BOD1L2,,
LINC00310,,
TIGD7,"['IPR009057', 'IPR036388']","['Homeobox-like domain superfamily', 'Winged helix-like DNA-binding domain superfamily']"
IGKV2D-29,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
KRTAP10-10,,
,,
CFAP206,,
SLC18B1,['IPR036259'],['MFS transporter superfamily']
IGHV4-4,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
SMYD4,,
LINC00313,,
TMEFF1,['IPR036058'],['Kazal domain superfamily']
HS2ST1,,
ERVK-21,"['IPR008916', 'IPR008919', 'IPR036875', 'IPR038124']","['Retrovirus capsid, C-terminal', 'Retrovirus capsid, N-terminal', 'Zinc finger, CCHC-type superfamily', 'Beta-retroviral matrix superfamily']"
HERVK_113,"['IPR008916', 'IPR008919', 'IPR010999', 'IPR036875']","['Retrovirus capsid, C-terminal', 'Retrovirus capsid, N-terminal', 'Retroviral matrix protein', 'Zinc finger, CCHC-type superfamily']"
ERVK-8,"['IPR008919', 'IPR010999', 'IPR038124']","['Retrovirus capsid, N-terminal', 'Retroviral matrix protein', 'Beta-retroviral matrix superfamily']"
NLRP11,"['IPR011029', 'IPR032675']","['Death-like domain superfamily', 'Leucine-rich repeat domain superfamily']"
RPL27,"['IPR008991', 'IPR038655']","['Translation protein SH3-like domain superfamily', 'Ribosomal protein L27e superfamily']"
DEFB1,,
NLRP6,"['IPR011029', 'IPR027417', 'IPR032675']","['Death-like domain superfamily', 'P-loop containing nucleoside triphosphate hydrolase', 'Leucine-rich repeat domain superfamily']"
NLRP5,"['IPR027417', 'IPR032675']","['P-loop containing nucleoside triphosphate hydrolase', 'Leucine-rich repeat domain superfamily']"
NLRP12,"['IPR011029', 'IPR032675']","['Death-like domain superfamily', 'Leucine-rich repeat domain superfamily']"
FTCDNL1,"['IPR022384', 'IPR037064']","['Formiminotransferase catalytic domain superfamily', 'Formiminotransferase, N-terminal subdomain superfamily']"
MICALCL,,
SYDE1,['IPR008936'],['Rho GTPase activation protein']
FAM231D,['IPR008936'],['Rho GTPase activation protein']
ZNF683,['IPR036236'],['Zinc finger C2H2 superfamily']
PHACTR4,,
ZNF34,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
THNSL1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
ZDHHC23,,
B3GALT5-AS1,,
BRWD1-AS2,,
CD81,['IPR008952'],"['Tetraspanin, EC2 domain superfamily']"
OSTN,,
PTCHD4,,
ANKRD20A8P,['IPR036770'],['Ankyrin repeat-containing domain superfamily']
YPEL5,,
PPIAL4E,,
PRSS58,"['IPR009003', 'IPR043504']","['Peptidase S1, PA clan', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
ZBED8,['IPR012337'],['Ribonuclease H-like superfamily']
C7orf61,,
GPR135,,
ISL1,['IPR009057'],['Homeobox-like domain superfamily']
C16orf86,,
RRM2B,"['IPR009078', 'IPR012348']","['Ferritin-like superfamily', 'Ribonucleotide reductase-like']"
MT-CO1,['IPR036927'],"['Cytochrome c oxidase-like, subunit I  superfamily']"
TSSK4,['IPR011009'],['Protein kinase-like domain superfamily']
GSR,"['IPR016156', 'IPR036188']","['FAD/NAD-linked reductase, dimerisation domain superfamily', 'FAD/NAD(P)-binding domain superfamily']"
CASP4,['IPR029030'],['Caspase-like domain superfamily']
GOLT1A,['IPR029030'],['Caspase-like domain superfamily']
CD37,,
