AccessionKeys,Gene_Name,novelty,idgTDL_Tbio,idgTDL_Tchem,idgTDL_Tclin,idgTDL_Tdark,monoclonalCount,antibodyCount,ppiCount,hpm_prot_spec,hpm_gene_spec,hpa_RNA_spec,hpa_prot_spec,GTEx_spec,uniprot_seq_len
Q8NGJ7,OR51A2,0.903089987,0,0,0,1,0,39,,1,1,0,,0,313
Q8NGI9,OR5A2,,0,0,0,1,2,38,,,,0,,1,324
Q6Y288,B3GLCT,-1.647483879,1,0,0,0,3,68,,0.748276,,0.716667,,0.791667,498
P13611,VCAN,-2.885005592,1,0,0,0,84,190,,0.558621,0.534483,0.875,0.8125,0.975,3396
P13612,ITGA4,-2.532619829,0,0,1,0,942,1312,,0.627586,0.627586,0.875,,0.975,1032
Q8NGI0,OR52N2,0.442359149,0,0,0,1,0,2,,1,1,0.997222,,0.9625,321
P26927,MST1,-2.041599067,1,0,0,0,0,0,,0.806897,0.806897,0.980556,,0.975,711
P50607,TUB,-2.457328906,1,0,0,0,2,64,,0.913793,0.9,0.844444,,0.772917,506
Q8NGI3,OR56B1,,0,0,0,1,2,88,,,,0.953704,,0.929167,324
Q8NGI4,OR4D11,,0,0,0,1,2,57,,1,1,0,,0,311
Q8NGI1,OR56B2P,,0,0,0,1,0,0,,,,,,,322
Q8NGI2,OR52N4,,0,0,0,1,2,37,,,,0.861111,,0.8875,321
Q8NGI7,OR10V1,,0,0,0,1,0,82,,,,0,,0,309
Q8NGI8,OR5AN1,-0.544068038,0,0,0,1,2,70,,,,0,,1,311
Q49AN0,CRY2,-2.395673487,1,0,0,0,15,149,8,0.958621,0.9,0.6,0.029279,0.54375,593
Q6NSZ9,ZSCAN25,0.84509804,0,0,0,1,2,146,,0.996552,0.996552,0.533333,,0.65625,544
Q8NGI6,OR4D10,0.301029996,0,0,0,1,1,11,,,,0,,1,311
Q6TDP4,KLHL17,-0.253257218,0,0,0,1,2,13,,0.813793,0.813793,0.680556,0.824324,0.654167,642
O15287,FANCG,-2.360340226,1,0,0,0,41,320,4,0.693103,0.693103,0.536111,0.465753,0.658333,622
Q6ZWC4,,,0,0,0,1,0,0,,,,,,,215
P13667,PDIA4,-1.682852781,1,0,0,0,84,284,1,0.465517,0.465517,0.694444,0.315315,0.71875,645
A1L190,SYCE3,-0.816399137,0,0,0,1,0,4,41,1,1,1,,1,88
P13671,C6,-1.552262572,1,0,0,0,50,153,3,0.617241,0.617241,0.997222,0.925676,0.997917,934
Q8NGP2,OR8J1,,0,0,0,1,0,35,,,,0,,0,316
Q8NGP3,OR5M9,,0,0,0,1,1,44,,0.975862,0.975862,0,,0,310
Q8NH10,OR8U1,0.514909815,0,0,0,1,0,23,,1,1,0,,1,309
Q8NGP0,OR4C13,0.477121255,0,0,0,1,0,79,,1,1,0,,0,309
P49619,DGKG,-1.257273141,1,0,0,0,4,78,19,0.813793,0.813793,0.905556,0.892857,0.9625,791
Q8IZD0,SAMD14,-0.284699228,0,0,0,1,0,49,,0.913793,0.913793,0.940972,,0.939583,417
Q8NGP6,OR5M8,,0,0,0,1,0,50,,,,1,,1,311
Q8NH16,OR2L2,,0,0,0,1,0,14,,,,1,,0.985417,312
Q3I5F7,ACOT6,0.425968733,0,0,0,1,0,27,2,0.958621,0.958621,0.902778,,0.8875,207
Q8IZD2,KMT2E,-1.553127922,1,0,0,0,2,160,,0.975862,,0.522222,1,0.654167,1858
Q8NGP4,OR5M3,,0,0,0,1,0,26,,,,0,,0,307
Q8IZD4,DCP1B,-0.313515707,0,0,0,1,13,115,,0.710345,0.710345,0.611111,0.124413,0.733333,617
Q8NH18,OR5J2,0.77815125,0,0,0,1,1,19,,0.631034,0.631034,0,,0.997917,312
Q8IZD6,SLC22A15,-0.045757491,0,0,0,1,0,50,20,0.958621,0.958621,0.905556,0.866667,0.677083,547
Q8NGP8,OR5M1,,0,0,0,1,2,78,,,,0,,0,315
Q8NGP9,OR5AR1,1.113943352,0,0,0,1,0,30,,,,,,1,310
Q8NH19,OR10AG1,,0,0,0,1,2,85,,,,0,,0,301
P24310,COX7A1,-1.327633332,1,0,0,0,2,70,,0.672414,0.672414,0.997222,,0.929167,79
P24311,COX7B,-0.618939494,1,0,0,0,6,58,,0.57931,0.57931,0.519444,,0.491667,80
Q8IZD9,DOCK3,-1.455261922,1,0,0,0,0,53,,0.596552,0.596552,0.966667,0.857778,0.870833,2030
O15294,OGT,-2.988962708,0,1,0,0,48,264,,0.52069,0.52069,0.508333,0.551802,0.658333,1046
P26992,CNTFR,-1.631389979,1,0,0,0,32,217,,0.748276,0.748276,0.930556,0.730594,0.802083,372
O15296,ALOX15B,-1.723054078,0,1,0,0,9,171,4,0.958621,0.913793,0.997222,0.830986,0.9625,676
O15297,PPM1D,-2.143839265,0,1,0,0,24,218,,0.937931,0.937931,0.530556,,0.7,605
P13674,P4HA1,-1.309773166,0,1,0,0,6,172,47,0.534483,0.534483,0.583333,0.241294,0.870833,534
Q8NH01,OR2T11,-0.124938737,0,0,0,1,0,86,,1,1,,,,316
P13682,ZNF35,-0.841016639,1,0,0,0,53,144,1,0.882759,0.882759,0.6,,0.60625,527
Q8NH02,OR2T29,,0,0,0,1,1,19,,,,0,,0,315
P11021,HSPA5,-3.350100731,0,1,0,0,370,1074,1,0.465517,0.465517,0.752778,0.402222,0.677083,654
Q8NH00,OR2T4,,0,0,0,1,1,4,,,,0.972222,,0.985417,348
Q8NH05,OR4Q3,-1.024003241,1,0,0,0,0,91,,,,1,,1,313
Q8NH06,OR1P1,,0,0,0,1,0,0,,,,,,,330
Q8NH03,OR2T3,0,0,0,0,1,0,58,,,,0,,0.997917,318
P00338,LDHA,-3.03454429,0,1,0,0,181,577,2,0.465517,0.465517,0.541667,,0.870833,332
Q8NH04,OR2T27,,0,0,0,1,2,58,,,,0,,1,317
Q8NH09,OR8S1,0.903089987,0,0,0,1,0,40,,,,,,,359
Q8IZC4,RTKN2,-0.595858714,1,0,0,0,17,102,,0.882759,0.882759,1,0.906667,0.985417,609
Q8NH07,OR11H2,0.386944624,0,0,0,1,0,2,,,,0,,0,326
Q8IZC6,COL27A1,-1.914970362,1,0,0,0,0,17,,0.937931,0.937931,0.841667,,0.947917,1860
Q8NH08,OR10AC1,,0,0,0,1,0,0,,,,,,,325
Q8IZC7,ZNF101,-0.301029996,0,0,0,1,7,89,,0.975862,0.975862,0.886111,,0.770833,436
P12318,FCGR2A,-2.889821212,1,0,0,0,400,841,11,0.768966,0.768966,0.905556,0.849315,0.975,317
P12319,FCER1A,-2.315726597,1,0,0,0,297,438,27,,,0.777778,0.726667,0.860417,257
P13646,KRT13,-2.255221348,1,0,0,0,189,403,,0.465517,0.465517,1,0.945946,0.997917,458
P12314,FCGR1A,-3.02075674,0,1,0,0,560,766,12,0.724138,0.724138,0.95,,0.939583,374
P13647,KRT5,-2.874889751,1,0,0,0,591,885,,0.465517,0.465517,0.997222,0.8,0.975,590
P13645,KRT10,-2.842987727,1,0,0,0,488,785,,0.465517,0.465517,1,0.977778,0.997917,584
P13640,MT1G,-1.342424835,1,0,0,0,1,17,,0.617241,0.617241,0.966667,,0.9625,62
A1L170,C1orf226,,0,0,0,1,0,30,,0.786207,0.786207,0.691667,0.409722,0.710417,272
Q8NGN0,OR4D5,,0,0,0,1,2,9,,,,0,,0.985417,318
Q8NGN1,OR6T1,,0,0,0,1,0,84,,,,0.997222,,0.997917,323
Q8NGN4,OR10G9,1.146128036,0,0,0,1,2,96,,,,0,,1,311
Q8NGN5,OR10G8,,0,0,0,1,2,54,,,,0,,0,311
Q8NGN2,OR10S1,,0,0,0,1,2,98,10,,,1,,1,331
Q8NGN3,OR10G4,0,0,0,0,1,0,29,,1,1,0.972222,,0.985417,311
Q8NGN8,OR4A4P,,0,0,0,1,0,0,,,,,,,299
P00367,GLUD1,-2.397874869,1,0,0,0,10,148,,0.465517,0.465517,0.752778,0.213333,0.539583,558
P01699,IGLV1-44,,0,0,0,1,0,0,,,,,,0.9625,117
Q8NGN6,OR10G7,,0,0,0,1,0,32,,,,0,,1,311
Q49AS3,LRRC37A5P,,0,0,0,1,0,0,,,,,,,106
Q8NGN7,OR10D4P,,0,0,0,1,0,0,,,,,,,298
P26951,IL3RA,-2.443978675,1,0,0,0,459,693,1,1,1,0.752778,0.481221,0.791667,378
H3BN30,C16orf97,1.079181246,0,0,0,1,0,0,,,,,,,126
Q4KWH8,PLCH1,-0.55260063,1,0,0,0,0,47,,0.503448,0.503448,0.930556,,0.939583,1693
P38935,IGHMBP2,-1.904586536,1,0,0,0,1,52,7,0.810345,0.810345,0.608333,,0.7,993
P38936,CDKN1A,-3.437374106,1,0,0,0,561,1509,25,1,1,0.675,0.715556,0.791667,164
Q6ZWB6,KCTD8,-0.61290994,0,0,0,1,0,72,,0.482759,0.482759,0.966667,0.968468,0.947917,473
A1L188,NDUFAF8,0.301029996,1,0,0,0,0,9,2,0.810345,,0.472222,,0.48125,74
Q8NGM1,OR4C15,,0,0,0,1,2,39,,,,0,,0,316
Q8IZA0,KIAA0319L,-1.119814017,1,0,0,0,2,59,,0.844828,0.844828,0.538889,,0.458333,1049
Q8NGM8,OR6M1,,0,0,0,1,2,30,,0.672414,0.672414,1,,0.997917,313
Q8IZA3,H1FOO,-1.483860894,1,0,0,0,3,137,50,1,1,1,0.981982,1,346
Q49AR2,C5orf22,0.602059991,0,0,0,1,0,38,,0.62069,0.62069,0.486111,0.457207,0.48125,442
Q8NGM9,OR8D4,1.176091259,0,0,0,1,1,66,,,,0,,0.997917,314
P00352,ALDH1A1,-2.810616378,0,1,0,0,184,725,,0.465517,0.465517,0.797222,0.811111,0.775,501
Q8IZ81,ELMOD2,-0.483677846,1,0,0,0,2,105,,0.482759,0.482759,0.519444,0.669014,0.585417,293
O15240,VGF,-2.123460023,1,0,0,0,9,212,,0.655172,0.655172,1,0.935743,0.947917,615
Q8IYW2,CFAP46,-0.207125489,0,0,0,1,0,41,,0.748276,,0.980556,,0.997917,2715
Q8NGD4,OR4K1,,0,0,0,1,1,69,,,,1,,1,311
Q8IZ83,ALDH16A1,-0.413778591,0,0,0,1,4,74,,0.482759,0.482759,0.672222,0.61036,0.658333,802
Q8NGD5,OR4K14,,0,0,0,1,2,102,,,,0,,0,310
O15243,LEPROT,-1.089289438,1,0,0,0,0,5,,0.786207,0.786207,0.522222,,0.7,131
Q8IYW4,ENTHD1,,0,0,0,1,0,86,24,0.958621,0.958621,1,,0.997917,607
Q8IYW5,RNF168,-1.538355632,1,0,0,0,24,166,1,0.996552,0.996552,0.480556,,0.7,571
O15244,SLC22A2,-2.154980761,0,1,0,0,38,183,34,0.975862,0.975862,1,0.945946,1,555
A1L0T0,ILVBL,-2.081527202,1,0,0,0,58,157,11,0.465517,0.465517,0.538889,0.107306,0.48125,632
A1L157,TSPAN11,0.255272505,0,0,0,1,0,21,11,0.975862,0.975862,0.825,,0.947917,253
O15234,CASC3,-2.307072043,1,0,0,0,0,222,1,0.748276,0.748276,0.538889,0.575117,0.527083,703
Q6NT46,GAGE2A,0.362780379,0,0,0,1,0,45,,0.996552,0.996552,1,0.970085,1,116
O15235,MRPS12,-0.81476536,1,0,0,0,2,136,5,0.710345,0.710345,0.466667,,0.48125,138
Q8NGD2,OR4K2,,0,0,0,1,1,76,,,,0,,0.997917,314
Q8NGD3,OR4K5,0,0,0,0,1,2,56,,,,0,,0,323
Q8NGD0,OR4M1,0.176091259,0,0,0,1,0,66,,,,1,,1,313
O15239,NDUFA1,-2.163289243,0,0,1,0,27,166,,0.710345,0.710345,0.508333,0.493243,0.48125,70
Q8NGD1,OR4N2,,0,0,0,1,0,67,,,,1,,1,307
Q8NGC5,OR6J1,,0,0,0,1,0,6,,,,0,,0.997917,347
Q8NGC6,OR4K17,,0,0,0,1,2,29,,,,0,,0,315
Q2Q1W2,TRIM71,-1.417959717,1,0,0,0,0,124,,0.882759,0.882759,1,,1,868
Q8NGC3,OR10G2,,0,0,0,1,0,89,1,,,0.997222,,0.985417,310
Q8NGC4,OR10G3,,0,0,0,1,2,9,,,,0,,1,313
Q8IZ73,RPUSD2,0.903089987,0,0,0,1,2,119,,0.672414,0.672414,0.466667,0.469907,0.516667,545
O15254,ACOX3,-1.26872083,1,0,0,0,1,70,4,0.503448,0.503448,0.508333,,0.677083,700
Q8NGC9,OR11H4,,0,0,0,1,2,21,,,,0,,0.929167,324
O15255,RTL8C,-0.265865582,0,0,0,1,0,0,,,,,,,209
Q8NGC7,OR11H6,,0,0,0,1,1,2,,,,0,,0.997917,330
Q8NGC8,OR11H7,,0,0,0,1,0,0,,,,,,,314
Q8IYV9,IZUMO1,-2.152405133,1,0,0,0,1,100,21,0.937931,0.937931,1,0.983539,1,350
A1L162,ERICH2,,0,0,0,1,4,4,,,1,1,,1,156
A1L167,UBE2QL1,0.073428919,1,0,0,0,0,0,,1,1,0.980556,,0.929167,161
A1L168,C20orf202,,0,0,0,1,0,17,,1,1,0.966667,,0.76875,122
O15247,CLIC2,-1.517035567,1,0,0,0,12,115,,0.465517,0.465517,0.794444,,0.860417,247
Q6ZW76,ANKS3,-0.485991678,0,0,0,1,4,69,,0.482759,0.482759,0.6,,0.5625,656
O15245,SLC22A1,-2.167684008,0,1,0,0,42,206,,1,0.996552,1,0.637324,1,554
Q8NGC1,OR11G2,,0,0,0,1,2,31,,1,1,0,,1,345
Q6NT55,CYP4F22,-2.039674329,1,0,0,0,2,42,,0.806897,0.806897,0.980556,,0.975,531
Q8NGC2,OR4E2,,0,0,0,1,0,31,,,1,1,,1,313
Q6NT52,CGB2,-1.918204944,0,0,0,1,0,0,14,,0.958621,,,,195
Q8NGC0,OR5AU1,,0,0,0,1,0,38,,,,0.988889,,0.997917,362
Q8NGB4,OR4S1,0.477121255,0,0,0,1,0,61,,,,0,,1,309
Q8NGB2,OR4C5,,0,0,0,1,0,2,,,,0,,1,326
O15260,SURF4,-1.274762455,1,0,0,0,11,96,,0.465517,0.465517,0.491667,0.611872,0.654167,269
Q8NGB8,OR4F15,0.77815125,0,0,0,1,2,58,,,,0,,0,312
Q8IYU2,HACE1,-0.768391402,1,0,0,0,50,123,,0.631034,0.631034,0.95,,0.572917,909
O15265,ATXN7,-2.33556394,1,0,0,0,7,120,,0.937931,0.748276,0.536111,,0.63125,892
Q8IZ63,PRR22,-0.066946788,0,0,0,1,0,43,,1,1,0.997222,1,1,422
O15266,SHOX,-2.414474977,1,0,0,0,2,93,,0.958621,0.958621,0.701389,,0.9625,292
Q8NGB9,OR4F6,,0,0,0,1,0,28,,1,1,0,,0.997917,312
Q8NGB6,OR4M2,-0.041392685,0,0,0,1,0,24,,,,1,,,313
Q6ZVT0,TTLL10,-0.562859082,0,0,0,1,0,30,,,,0.997222,,1,673
Q8IYU4,UBQLNL,-0.585773964,0,0,0,1,3,46,,0.996552,0.996552,1,,1,475
O15263,DEFB4A,-2.724926017,1,0,0,0,16,132,3,,,0.980556,,0,64
Q49AG3,ZBED5,-0.110895658,0,0,0,1,2,52,,1,1,0.519444,,0.65625,693
O15264,MAPK13,-2.631283683,0,1,0,0,416,648,1,0.655172,0.655172,0.797222,0.396396,0.90625,365
Q8IYU8,MICU2,-0.941830756,1,0,0,0,2,63,8,0.655172,,0.491667,0.60274,0.489583,434
Q8IZ69,TRMT2A,-0.481408499,0,0,0,1,155,198,24,0.748276,0.748276,0.497222,0.21831,0.539583,625
A0A087X1G2,TBC1D3K,,0,0,0,1,0,0,,,,0.997222,0.983333,,549
O15258,RER1,-1.575517739,1,0,0,0,1,65,,0.465517,0.465517,0.491667,0.288288,0.54375,196
O15259,NPHP1,-1.761493488,1,0,0,0,3,96,,1,1,0.919444,,0.916667,732
Q6ZW49,PAXIP1,-1.636117751,1,0,0,0,7,79,1,0.786207,0.786207,0.538889,0.212963,0.870833,1069
Q6ZVS7,FAM183BP,0.477121255,0,0,0,1,0,0,,,,,,,135
O15273,TCAP,-3.330209095,1,0,0,0,40,97,4,0.937931,0.937931,0.997222,0.990991,0.985417,167
Q8NGA4,GPR32P1,,0,0,0,1,0,0,,,,,,,272
O15270,SPTLC2,-1.708052476,0,1,0,0,2,203,1,0.558621,0.558621,0.538889,,0.654167,562
Q8NGA1,OR1M1,,0,0,0,1,2,57,,0.503448,0.503448,1,,1,313
Q8NGA2,OR7A2P,,0,0,0,1,0,0,,,,,,,310
Q8IYT1,FAM71A,,0,0,0,1,0,92,,0.996552,0.996552,1,1,1,594
Q8NGA8,OR4F17,0.602059991,0,0,0,1,0,57,,,,0,,0,305
Q8IZ52,CHPF,-1.315420501,1,0,0,0,0,129,,0.57931,0.57931,0.7,0.325342,0.847917,775
Q8IYT2,CMTR2,-2.280619816,1,0,0,0,0,56,,0.748276,,0.538889,,0.710417,770
Q8IYT3,CCDC170,-0.905552421,1,0,0,0,0,85,,0.482759,0.482759,0.997222,0.945205,0.929167,715
Q6ZW61,BBS12,-1.04697464,1,0,0,0,3,40,2,0.882759,0.882759,0.888889,0.83105,0.7,710
Q8NGA5,OR10H4,,0,0,0,1,0,82,,,,0,,1,316
Q8NGA6,OR10H5,1.255272505,0,0,0,1,2,64,,,,0,,1,315
Q8IYT4,KATNAL2,-0.532693727,0,0,0,1,2,37,,0.937931,0.937931,0.930556,0.337963,0.791667,538
Q6ZVU0,,,0,0,0,1,0,0,,,,,,,165
Q8IZ57,NRSN1,-1.746504495,1,0,0,0,2,61,,1,1,1,0.653333,0.90625,195
Q8IYT8,ULK2,-1.202105505,0,1,0,0,105,391,,0.958621,0.958621,0.797222,0.27,0.61875,1036
Q7LGC8,CHST3,-2.328969785,1,0,0,0,50,128,,,,0.811111,0.833333,0.772917,479
Q6ZVT6,C3orf67,1.447158031,0,0,0,1,0,14,,0.996552,0.996552,0.997222,,0.997917,689
O15269,SPTLC1,-2.167108693,0,1,0,0,8,285,,0.482759,0.482759,0.536111,0.441441,0.595833,473
Q6NT32,CES5A,-1.896949595,1,0,0,0,0,99,,,,1,,0.916667,575
Q8NGA0,OR7G1,,0,0,0,1,0,63,,,,0,,0,311
Q8NGH8,OR56A4,,0,0,0,1,0,8,,0.596552,0.596552,0,,0.997917,313
Q8NGH9,OR52E4,,0,0,0,1,2,35,,,,1,,0.997917,312
Q6ZVZ8,ASB18,0.903089987,0,0,0,1,0,8,,0.813793,0.813793,0.980556,1,0.975,466
Q5CZA5,ZNF805,,0,0,0,1,0,60,,0.958621,0.958621,0.513889,,0.677083,627
Q8NGH3,OR2D3,,0,0,0,1,1,45,,,,0,,0.997917,330
Q6NT89,TRNP1,-0.537819099,0,0,0,1,0,17,,0.996552,0.996552,0.95,,0.929167,227
Q8NGH6,OR52L2P,1.113943352,0,0,0,1,0,0,,,,,,,319
Q6NSW7,NANOGP8,-2.94914483,1,0,0,0,0,0,,,,,,,305
Q8NGH7,OR52L1,1.113943352,0,0,0,1,0,54,,,1,1,,0.997917,329
Q6NSW5,FAM45BP,0.698970004,0,0,0,1,0,0,,,,,,,357
Q8NGH5,OR56A1,,0,0,0,1,0,73,,,,1,,1,318
Q8NGG7,OR8A1,,0,0,0,1,1,56,,,,0.997222,,1,326
Q8NGG8,OR8B3,0.301029996,0,0,0,1,1,13,,,,,,,313
Q49AH0,CDNF,-2.03951305,1,0,0,0,14,158,1,0.57931,0.57931,0.827778,,0.947917,187
O15211,RGL2,-1.080457566,1,0,0,0,34,94,,0.710345,0.693103,0.684028,0.724537,0.7,777
P14927,UQCRB,-1.294211099,1,0,0,0,2,112,11,0.465517,0.465517,0.508333,0.116438,0.489583,111
Q6WN34,CHRDL2,-1.692124174,1,0,0,0,24,100,,1,1,0.966667,,0.985417,429
P14923,JUP,-2.018084038,1,0,0,0,252,719,3,0.503448,0.503448,0.997222,0.420188,0.975,745
P14920,DAO,-2.430175641,0,1,0,0,14,215,2,0.913793,0.913793,0.997222,0.959459,0.9625,347
P14921,ETS1,-2.895004461,1,0,0,0,109,463,,0.862069,0.862069,0.905556,0.924883,0.870833,441
O15209,ZBTB22,-2.877649757,1,0,0,0,2,95,,,,0.794444,,0.514583,634
Q6NSX1,CCDC70,0,0,0,0,1,0,50,,1,1,1,,1,233
Q8NGG1,OR8J2,,0,0,0,1,0,0,,,,,,,315
O15204,ADAMDEC1,-0.897524754,1,0,0,0,28,113,,0.937931,0.937931,0.966667,,0.997917,470
Q8NGG2,OR5T2,,0,0,0,1,0,27,,1,1,0,,1,359
Q8NGG0,OR8J3,,0,0,0,1,0,79,,,,0,,0,315
Q8NGG5,OR8K1,,0,0,0,1,1,77,,1,1,0,,0,319
Q8NGG6,OR8B12,,0,0,0,1,1,54,,,,1,,1,310
O15205,UBD,-2.35231098,1,0,0,0,16,210,3,0.975862,0.975862,0.966667,,0.929167,165
Q8NGG3,OR5T3,,0,0,0,1,2,36,,,,0,,0,340
Q8NGG4,OR8H1,,0,0,0,1,1,21,,,,0,,0,311
Q8NGF8,OR4B1,0.698970004,0,0,0,1,1,28,,,,0,,0,309
Q8NGF9,OR4X2,0.477121255,0,0,0,1,0,4,,0.996552,0.996552,,,0,303
Q8IYY4,DZIP1L,-0.355962476,1,0,0,0,2,13,,0.806897,0.806897,0.775,0.424658,0.75625,767
Q8NGF6,OR10W1,,0,0,0,1,0,14,,,,0,,0,305
Q8NGF7,OR5B17,,0,0,0,1,0,15,,,,0,,0,314
Q6XPR3,RPTN,-0.914380952,1,0,0,0,0,73,1,0.9,0.9,0.997222,0.968354,0.997917,784
P01619,IGKV3-20,,1,0,0,0,0,0,,,,,,0.9625,116
P85299,PRR5,-1.132873423,1,0,0,0,0,143,,0.913793,0.913793,0.752778,0.646119,0.745833,388
P85298,ARHGAP8,-0.45774047,1,0,0,0,0,12,4,0.882759,0.882759,0.780556,0.898649,0.90625,464
P01615,IGKV2D-28,,0,0,0,1,0,0,,,,,,0.975,120
P01614,IGKV2D-40,,0,0,0,1,0,0,,,,,,0.975,121
Q8NGF0,OR52B6,,0,0,0,1,1,14,,,,0,,0.947917,335
A0A087X1C5,CYP2D7,,1,0,0,0,0,0,,,,,,1,515
Q8NGF1,OR52R1,,0,0,0,1,0,13,,,,,,,315
Q6ZVW7,IL17REL,-0.516314973,0,0,0,1,0,7,,0.710345,0.710345,0.95,0.972603,0.939583,336
O15212,PFDN6,-1.568140458,1,0,0,0,7,59,,0.465517,0.465517,0.469444,0.504762,0.504167,129
P01611,IGKV1D-12,,0,0,0,1,0,0,,,,,,,117
O15213,WDR46,-0.429123972,0,0,0,1,0,45,83,0.727586,0.724138,0.875,,0.595833,610
O15218,GPR182,-2.532584299,1,0,0,0,20,205,,1,1,0.997222,0.961538,0.997917,404
Q8NGF4,OR5AP2,,0,0,0,1,0,35,,,,0,,1,316
O15217,GSTA4,-1.799431009,1,0,0,0,31,189,,0.768966,0.768966,0.930556,0.717593,0.929167,222
Q8NGF3,OR51D1,,0,0,0,1,2,36,,,,0,,0.991667,324
Q8IYX1,TBC1D21,-0.271066769,0,0,0,1,73,146,1,0.813793,0.813793,1,0.995556,1,336
Q8NGE7,OR9K2,,0,0,0,1,1,58,,,,0,,1,335
Q49AJ0,FAM135B,-0.022186318,0,0,0,1,0,70,1,0.882759,0.882759,0.980556,,0.9625,1406
Q8NGE8,OR4D9,,0,0,0,1,0,2,,1,1,0,,0,314
Q8IYX3,CCDC116,-0.149439064,0,0,0,1,0,50,2,,,1,,1,515
Q8NGE5,OR10A7,,0,0,0,1,0,30,,1,1,0,,0.997917,316
Q8IYX4,DND1,-1.419029773,1,0,0,0,97,185,6,0.975862,0.975862,1,,,353
O15232,MATN3,-2.317176474,1,0,0,0,11,159,3,1,1,0.966667,,0.929167,486
Q8IZ96,CMTM1,-0.910443029,1,0,0,0,2,79,,0.768966,0.768966,1,,1,169
Q8NGE9,OR9Q2,1.146128036,0,0,0,1,2,42,,,,1,,1,314
Q8IYX7,SAXO1,0.145142124,1,0,0,0,0,36,,0.975862,,1,0.966216,1,474
O15230,LAMA5,-1.43471725,1,0,0,0,41,217,3,0.482759,0.482759,0.811111,1,0.775,3695
P14902,IDO1,-2.621958403,0,1,0,0,367,684,,0.975862,0.975862,0.930556,0.977169,0.985417,403
Q8IYX8,CEP57L1,-0.324511092,0,0,0,1,0,64,,0.813793,0.813793,0.591667,0.333333,0.6625,460
O15231,ZNF185,-0.729929346,1,0,0,0,0,118,,0.672414,0.672414,0.966667,0.932432,0.975,689
Q6XPS3,TPTE2,-0.97532239,1,0,0,0,8,34,21,1,1,1,,1,522
O15225,INE1,0.386944624,0,0,0,1,0,0,,,,,,,51
P01602,IGKV1-5,,0,0,0,1,0,0,,,,,,0.9625,117
Q8NGE0,OR10AD1,0.602059991,0,0,0,1,2,88,,,,0.934028,,0.870833,317
Q6ZVX9,PAQR9,0.244026204,0,0,0,1,2,6,,0.996552,0.996552,0.980556,,0.997917,377
O15226,NKRF,-2.413935063,1,0,0,0,20,124,,0.748276,0.748276,0.541667,,0.545833,690
P01601,IGKV1D-16,,0,0,0,1,0,0,,,,,,0.975,117
Q6ZVX7,NCCRP1,-1.320353103,1,0,0,0,4,63,,0.786207,0.786207,0.980556,,0.975,275
Q6NT76,HMBOX1,-1.459823118,1,0,0,0,12,138,,0.655172,0.655172,0.519444,0.633333,0.5625,420
O15229,KMO,-2.155008065,0,1,0,0,4,127,2,0.937931,0.937931,0.919444,0.932432,0.975,486
Q8NGE3,OR10P1,,0,0,0,1,1,24,,,,1,,0.997917,313
Q8NGE1,OR6C4,,0,0,0,1,1,57,,1,1,0,,0,309
Q8NGE2,OR2AP1,0.301029996,0,0,0,1,0,25,,,,0,,1,309
O15228,GNPAT,-1.821664326,0,1,0,0,10,178,,0.534483,0.534483,0.472222,,0.48125,680
Q8IYX0,ZNF679,,0,0,0,1,0,22,,0.693103,0.693103,1,,1,411
Q5TIA1,MEI1,-1.237119563,1,0,0,0,3,52,,0.913793,0.913793,0.847222,0.635417,0.985417,1274
Q8NEY1,NAV1,-2.07470493,0,0,0,1,4,48,,0.748276,0.748276,0.719444,0.453052,0.825,1877
Q969L2,MAL2,,0,0,0,1,0,35,,0.672414,0.672414,0.847222,,0.90625,176
Q14CB8,ARHGAP19,-0.582050198,0,0,0,1,0,97,6,0.996552,0.975862,0.763889,,0.947917,494
Q969L4,LSM10,-0.809639863,1,0,0,0,10,34,,,,0.472222,,0.470833,123
Q8NEY3,SPATA4,-0.941298415,1,0,0,0,8,111,,0.975862,0.975862,1,0.9875,1,305
Q8IXM2,C17orf49,-0.308208579,0,0,0,1,2,66,,0.558621,0.558621,0.522222,0.101351,0.595833,172
Q8NEY4,ATP6V1C2,-0.950491136,1,0,0,0,45,182,15,0.724138,0.724138,0.95,0.56621,0.947917,427
Q8IXM3,MRPL41,-0.629361044,1,0,0,0,2,110,32,0.596552,0.596552,0.766667,0.386667,0.48125,137
Q2HXU8,CLEC12B,-0.21387233,1,0,0,0,1,60,,0.975862,0.975862,0.997222,,1,276
Q8NEY8,PPHLN1,-0.395787073,1,0,0,0,5,108,,0.710345,0.693103,0.519444,0.539352,0.514583,458
Q8IXM6,NRM,-1.426123832,1,0,0,0,2,45,2,0.503448,0.503448,0.666667,,0.733333,262
Q8IXL6,FAM20C,-2.325912647,1,0,0,0,0,90,,0.806897,0.806897,0.625,,0.63125,584
Q8IXL7,MSRB3,-1.272754229,1,0,0,0,32,55,5,0.768966,0.768966,0.875,,0.929167,192
Q6ZUK4,TMEM26,-0.75912423,0,0,0,1,2,21,,0.975862,0.975862,0.888889,,0.985417,368
Q8IXL9,IQCF2,,0,0,0,1,0,15,10,,,1,,1,164
P60174,TPI1,-2.88127245,1,0,0,0,76,315,,0.465517,0.465517,0.491667,,0.516667,286
Q07108,CD69,-3.230319955,1,0,0,0,586,894,5,1,1,0.919444,0.94,0.916667,199
