entrez_gene_symbol,gene_long_name,category_sources,category
ICAM3,INTERCELLULAR ADHESION MOLECULE 3,HingoraniCasas,DRUGGABLE GENOME
FAM19A4,"FAMILY WITH SEQUENCE SIMILARITY 19 MEMBER A4, C-C MOTIF CHEMOKINE LIKE",HingoraniCasas,DRUGGABLE GENOME
MTMR2,MYOTUBULARIN RELATED PROTEIN 2,"HopkinsGroom,GO",PROTEIN PHOSPHATASE
MTMR2,MYOTUBULARIN RELATED PROTEIN 2,"HopkinsGroom,dGene",DRUGGABLE GENOME
MTMR2,MYOTUBULARIN RELATED PROTEIN 2,dGene,MYOTUBULARIN RELATED PROTEIN PHOSPHATASE
TDP1,TYROSYL-DNA PHOSPHODIESTERASE 1,HingoraniCasas,DRUGGABLE GENOME
TDP1,TYROSYL-DNA PHOSPHODIESTERASE 1,GO,DNA REPAIR
GNAQ,G PROTEIN SUBUNIT ALPHA Q,GO,PHOSPHOLIPASE
GNAQ,G PROTEIN SUBUNIT ALPHA Q,GO,KINASE
GNAQ,G PROTEIN SUBUNIT ALPHA Q,"MskImpact,CarisMolecularIntelligence,FoundationOneGenes",CLINICALLY ACTIONABLE
AMOT,ANGIOMOTIN,GO,EXTERNAL SIDE OF PLASMA MEMBRANE
AMOT,ANGIOMOTIN,GO,CELL SURFACE
AMOT,ANGIOMOTIN,HingoraniCasas,DRUGGABLE GENOME
MPZ,MYELIN PROTEIN ZERO,HingoraniCasas,DRUGGABLE GENOME
TG,THYROGLOBULIN,"RussLampel,HopkinsGroom,HingoraniCasas",DRUGGABLE GENOME
TG,THYROGLOBULIN,GO,HORMONE ACTIVITY
HERPUD1,HOMOCYSTEINE INDUCIBLE ER PROTEIN WITH UBIQUITIN LIKE DOMAIN 1,GO,PROTEASE
KL,KLOTHO,HingoraniCasas,DRUGGABLE GENOME
KL,KLOTHO,GO,KINASE
KL,KLOTHO,GO,HORMONE ACTIVITY
HBP1,HMG-BOX TRANSCRIPTION FACTOR 1,GO,TUMOR SUPPRESSOR
LILRB5,LEUKOCYTE IMMUNOGLOBULIN LIKE RECEPTOR B5,HingoraniCasas,DRUGGABLE GENOME
MFNG,MFNG O-FUCOSYLPEPTIDE 3-BETA-N-ACETYLGLUCOSAMINYLTRANSFERASE,HingoraniCasas,DRUGGABLE GENOME
FUS,FUS RNA BINDING PROTEIN,"RussLampel,HopkinsGroom",DRUGGABLE GENOME
FUS,FUS RNA BINDING PROTEIN,GO,TRANSCRIPTION FACTOR BINDING
TRIP6,THYROID HORMONE RECEPTOR INTERACTOR 6,GO,TRANSCRIPTION FACTOR BINDING
KCNC3,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY C MEMBER 3,"RussLampel,HopkinsGroom,HingoraniCasas",DRUGGABLE GENOME
KCNC3,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY C MEMBER 3,"GuideToPharmacologyGenes,GO,HopkinsGroom,BaderLabGenes",ION CHANNEL
KCNC3,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY C MEMBER 3,"GuideToPharmacologyGenes,GO",TRANSPORTER
MSL1,MALE SPECIFIC LETHAL 1 HOMOLOG,GO,HISTONE MODIFICATION
NALCN,"SODIUM LEAK CHANNEL, NON-SELECTIVE","RussLampel,HopkinsGroom",DRUGGABLE GENOME
NALCN,"SODIUM LEAK CHANNEL, NON-SELECTIVE","HopkinsGroom,GuideToPharmacologyGenes,GO,BaderLabGenes",ION CHANNEL
NALCN,"SODIUM LEAK CHANNEL, NON-SELECTIVE","GuideToPharmacologyGenes,GO",TRANSPORTER
ZFYVE9,ZINC FINGER FYVE-TYPE CONTAINING 9,GO,PROTEASE
ADCK2,AARF DOMAIN CONTAINING KINASE 2,"GuideToPharmacologyGenes,GO",KINASE
ADCK2,AARF DOMAIN CONTAINING KINASE 2,"GuideToPharmacologyGenes,GO,dGene",SERINE THREONINE KINASE
ADCK2,AARF DOMAIN CONTAINING KINASE 2,dGene,DRUGGABLE GENOME
TRIM47,TRIPARTITE MOTIF CONTAINING 47,HopkinsGroom,DRUGGABLE GENOME
TRIM47,TRIPARTITE MOTIF CONTAINING 47,HopkinsGroom,B30_2 SPRY DOMAIN
FH,FUMARATE HYDRATASE,MskImpact,CLINICALLY ACTIONABLE
TEX14,"TESTIS EXPRESSED 14, INTERCELLULAR BRIDGE FORMING FACTOR","HopkinsGroom,HingoraniCasas,RussLampel,dGene",DRUGGABLE GENOME
TEX14,"TESTIS EXPRESSED 14, INTERCELLULAR BRIDGE FORMING FACTOR","HopkinsGroom,GuideToPharmacologyGenes,GO",KINASE
TEX14,"TESTIS EXPRESSED 14, INTERCELLULAR BRIDGE FORMING FACTOR","GuideToPharmacologyGenes,dGene",TYROSINE KINASE
TEX14,"TESTIS EXPRESSED 14, INTERCELLULAR BRIDGE FORMING FACTOR",GO,TUMOR SUPPRESSOR
MMP14,MATRIX METALLOPEPTIDASE 14,"HingoraniCasas,HopkinsGroom,dGene,RussLampel",DRUGGABLE GENOME
MMP14,MATRIX METALLOPEPTIDASE 14,"GuideToPharmacologyGenes,GO",NEUTRAL ZINC METALLOPEPTIDASE
MMP14,MATRIX METALLOPEPTIDASE 14,"GuideToPharmacologyGenes,HopkinsGroom,dGene,GO",PROTEASE
ACP2,"ACID PHOSPHATASE 2, LYSOSOMAL",HingoraniCasas,DRUGGABLE GENOME
TNFRSF13C,TNF RECEPTOR SUPERFAMILY MEMBER 13C,HingoraniCasas,DRUGGABLE GENOME
TNFRSF13C,TNF RECEPTOR SUPERFAMILY MEMBER 13C,GO,EXTERNAL SIDE OF PLASMA MEMBRANE
TNFRSF13C,TNF RECEPTOR SUPERFAMILY MEMBER 13C,GO,CELL SURFACE
DEFB107A,DEFENSIN BETA 107A,GO,CELL SURFACE
DEFB107A,DEFENSIN BETA 107A,HingoraniCasas,DRUGGABLE GENOME
TGFB2,TRANSFORMING GROWTH FACTOR BETA 2,GO,TUMOR SUPPRESSOR
TGFB2,TRANSFORMING GROWTH FACTOR BETA 2,GO,DRUG RESISTANCE
TGFB2,TRANSFORMING GROWTH FACTOR BETA 2,GO,GROWTH FACTOR
TGFB2,TRANSFORMING GROWTH FACTOR BETA 2,GO,KINASE
TGFB2,TRANSFORMING GROWTH FACTOR BETA 2,HingoraniCasas,DRUGGABLE GENOME
INO80B,INO80 COMPLEX SUBUNIT B,GO,DNA REPAIR
AIF1,ALLOGRAFT INFLAMMATORY FACTOR 1,GO,TUMOR SUPPRESSOR
RAP2C,"RAP2C, MEMBER OF RAS ONCOGENE FAMILY",GO,TYROSINE KINASE
RAP2C,"RAP2C, MEMBER OF RAS ONCOGENE FAMILY",GO,KINASE
LINGO2,LEUCINE RICH REPEAT AND IG DOMAIN CONTAINING 2,HingoraniCasas,DRUGGABLE GENOME
SLC6A9,SOLUTE CARRIER FAMILY 6 MEMBER 9,"RussLampel,HopkinsGroom,HingoraniCasas",DRUGGABLE GENOME
SLC6A9,SOLUTE CARRIER FAMILY 6 MEMBER 9,"GO,HopkinsGroom,GuideToPharmacologyGenes",TRANSPORTER
BPI,BACTERICIDAL/PERMEABILITY-INCREASING PROTEIN,"HingoraniCasas,HopkinsGroom,RussLampel",DRUGGABLE GENOME
CXCL6,C-X-C MOTIF CHEMOKINE LIGAND 6,HingoraniCasas,DRUGGABLE GENOME
LIPG,"LIPASE G, ENDOTHELIAL TYPE","RussLampel,HingoraniCasas,HopkinsGroom",DRUGGABLE GENOME
LIPG,"LIPASE G, ENDOTHELIAL TYPE",GO,PHOSPHOLIPASE
LIPG,"LIPASE G, ENDOTHELIAL TYPE",GO,CELL SURFACE
LIPG,"LIPASE G, ENDOTHELIAL TYPE",HopkinsGroom,LIPASE
DMD,DYSTROPHIN,GO,TRANSPORTER
DMD,DYSTROPHIN,GO,CELL SURFACE
DMD,DYSTROPHIN,GO,ION CHANNEL
DMD,DYSTROPHIN,HingoraniCasas,DRUGGABLE GENOME
COL4A5,COLLAGEN TYPE IV ALPHA 5 CHAIN,HingoraniCasas,DRUGGABLE GENOME
BSPRY,B-BOX AND SPRY DOMAIN CONTAINING,HopkinsGroom,B30_2 SPRY DOMAIN
BSPRY,B-BOX AND SPRY DOMAIN CONTAINING,HopkinsGroom,DRUGGABLE GENOME
TNNI3,"TROPONIN I3, CARDIAC TYPE",HingoraniCasas,DRUGGABLE GENOME
TNNI3,"TROPONIN I3, CARDIAC TYPE",GO,TRANSPORTER
TNNI3,"TROPONIN I3, CARDIAC TYPE",GO,ION CHANNEL
VWA3A,VON WILLEBRAND FACTOR A DOMAIN CONTAINING 3A,RussLampel,DRUGGABLE GENOME
PATE2,PROSTATE AND TESTIS EXPRESSED 2,HingoraniCasas,DRUGGABLE GENOME
ARPP19,CAMP REGULATED PHOSPHOPROTEIN 19,GO,PROTEIN PHOSPHATASE
ARPP19,CAMP REGULATED PHOSPHOPROTEIN 19,GO,TRANSPORTER
ARPP19,CAMP REGULATED PHOSPHOPROTEIN 19,GO,ION CHANNEL
MC2R,MELANOCORTIN 2 RECEPTOR,"HingoraniCasas,HopkinsGroom,RussLampel,dGene",DRUGGABLE GENOME
MC2R,MELANOCORTIN 2 RECEPTOR,"HopkinsGroom,GuideToPharmacologyGenes,GO,dGene",G PROTEIN COUPLED RECEPTOR
HIST1H4K,HISTONE CLUSTER 1 H4 FAMILY MEMBER K,HingoraniCasas,DRUGGABLE GENOME
CLCN5,CHLORIDE VOLTAGE-GATED CHANNEL 5,"GuideToPharmacologyGenes,GO,HopkinsGroom",ION CHANNEL
CLCN5,CHLORIDE VOLTAGE-GATED CHANNEL 5,"GuideToPharmacologyGenes,GO",TRANSPORTER
CLCN5,CHLORIDE VOLTAGE-GATED CHANNEL 5,"RussLampel,HopkinsGroom,HingoraniCasas",DRUGGABLE GENOME
POLG,"DNA POLYMERASE GAMMA, CATALYTIC SUBUNIT",GO,DNA REPAIR
SH3GLB1,"SH3 DOMAIN CONTAINING GRB2 LIKE, ENDOPHILIN B1",GO,TUMOR SUPPRESSOR
CNTNAP3,CONTACTIN ASSOCIATED PROTEIN LIKE 3,"HopkinsGroom,HingoraniCasas",DRUGGABLE GENOME
CNTNAP3,CONTACTIN ASSOCIATED PROTEIN LIKE 3,HopkinsGroom,FIBRINOGEN
PRKDC,"PROTEIN KINASE, DNA-ACTIVATED, CATALYTIC POLYPEPTIDE","GuideToPharmacologyGenes,HopkinsGroom",PHOSPHATIDYLINOSITOL 3 KINASE
PRKDC,"PROTEIN KINASE, DNA-ACTIVATED, CATALYTIC POLYPEPTIDE","GuideToPharmacologyGenes,GO",KINASE
PRKDC,"PROTEIN KINASE, DNA-ACTIVATED, CATALYTIC POLYPEPTIDE","GuideToPharmacologyGenes,dGene,GO",SERINE THREONINE KINASE
PRKDC,"PROTEIN KINASE, DNA-ACTIVATED, CATALYTIC POLYPEPTIDE","dGene,HopkinsGroom,RussLampel,HingoraniCasas",DRUGGABLE GENOME
PRKDC,"PROTEIN KINASE, DNA-ACTIVATED, CATALYTIC POLYPEPTIDE",FoundationOneGenes,CLINICALLY ACTIONABLE
PRKDC,"PROTEIN KINASE, DNA-ACTIVATED, CATALYTIC POLYPEPTIDE",GO,TRANSCRIPTION FACTOR BINDING
PRKDC,"PROTEIN KINASE, DNA-ACTIVATED, CATALYTIC POLYPEPTIDE",GO,DNA REPAIR
PRKDC,"PROTEIN KINASE, DNA-ACTIVATED, CATALYTIC POLYPEPTIDE",GO,TRANSCRIPTION FACTOR COMPLEX
PRKDC,"PROTEIN KINASE, DNA-ACTIVATED, CATALYTIC POLYPEPTIDE",GO,TUMOR SUPPRESSOR
PDLIM1,PDZ AND LIM DOMAIN 1,GO,TRANSCRIPTION FACTOR COMPLEX
PCLAF,PCNA CLAMP ASSOCIATED FACTOR,GO,TUMOR SUPPRESSOR
PCLAF,PCNA CLAMP ASSOCIATED FACTOR,GO,DNA REPAIR
PRKCA,PROTEIN KINASE C ALPHA,"GuideToPharmacologyGenes,GO,HopkinsGroom,BaderLabGenes",KINASE
PRKCA,PROTEIN KINASE C ALPHA,"GuideToPharmacologyGenes,GO,dGene",SERINE THREONINE KINASE
PRKCA,PROTEIN KINASE C ALPHA,GO,HISTONE MODIFICATION
PRKCA,PROTEIN KINASE C ALPHA,GO,TUMOR SUPPRESSOR
PRKCA,PROTEIN KINASE C ALPHA,"HopkinsGroom,dGene,RussLampel,HingoraniCasas",DRUGGABLE GENOME
CCNK,CYCLIN K,GO,KINASE
CCNK,CYCLIN K,GO,TUMOR SUPPRESSOR
CCNK,CYCLIN K,GO,SERINE THREONINE KINASE
LMO4,LIM DOMAIN ONLY 4,GO,KINASE
LMO4,LIM DOMAIN ONLY 4,GO,TRANSCRIPTION FACTOR BINDING
LMO4,LIM DOMAIN ONLY 4,GO,TRANSCRIPTION FACTOR COMPLEX
TOMM40L,TRANSLOCASE OF OUTER MITOCHONDRIAL MEMBRANE 40 LIKE,GO,TRANSPORTER
OR5D13,OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY D MEMBER 13 (GENE/PSEUDOGENE),"dGene,RussLampel,HopkinsGroom",DRUGGABLE GENOME
OR5D13,OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY D MEMBER 13 (GENE/PSEUDOGENE),"dGene,GO,HopkinsGroom",G PROTEIN COUPLED RECEPTOR
ATG4D,AUTOPHAGY RELATED 4D CYSTEINE PEPTIDASE,"GO,dGene",PROTEASE
ATG4D,AUTOPHAGY RELATED 4D CYSTEINE PEPTIDASE,dGene,DRUGGABLE GENOME
SELE,SELECTIN E,GO,PHOSPHOLIPASE
SELE,SELECTIN E,HingoraniCasas,DRUGGABLE GENOME
SLC38A9,SOLUTE CARRIER FAMILY 38 MEMBER 9,"GuideToPharmacologyGenes,GO",TRANSPORTER
SLC38A9,SOLUTE CARRIER FAMILY 38 MEMBER 9,GO,TUMOR SUPPRESSOR
MEST,MESODERM SPECIFIC TRANSCRIPT,dGene,PROTEASE
MEST,MESODERM SPECIFIC TRANSCRIPT,dGene,DRUGGABLE GENOME
UBLCP1,UBIQUITIN LIKE DOMAIN CONTAINING CTD PHOSPHATASE 1,GO,PROTEIN PHOSPHATASE
EGR2,EARLY GROWTH RESPONSE 2,GO,TRANSCRIPTION FACTOR BINDING
POLR2G,RNA POLYMERASE II SUBUNIT G,GO,DNA REPAIR
IL6,INTERLEUKIN 6,GO,DRUG RESISTANCE
IL6,INTERLEUKIN 6,GO,CELL SURFACE
IL6,INTERLEUKIN 6,GO,PROTEASE
IL6,INTERLEUKIN 6,GO,KINASE
IL6,INTERLEUKIN 6,GO,GROWTH FACTOR
IL6,INTERLEUKIN 6,GO,EXTERNAL SIDE OF PLASMA MEMBRANE
IL6,INTERLEUKIN 6,HingoraniCasas,DRUGGABLE GENOME
JMY,"JUNCTION MEDIATING AND REGULATORY PROTEIN, P53 COFACTOR",GO,TUMOR SUPPRESSOR
JMY,"JUNCTION MEDIATING AND REGULATORY PROTEIN, P53 COFACTOR",GO,DNA REPAIR
P4HB,PROLYL 4-HYDROXYLASE SUBUNIT BETA,"HopkinsGroom,HingoraniCasas,RussLampel",DRUGGABLE GENOME
P4HB,PROLYL 4-HYDROXYLASE SUBUNIT BETA,HopkinsGroom,THIOREDOXIN
P4HB,PROLYL 4-HYDROXYLASE SUBUNIT BETA,GO,CELL SURFACE
P4HB,PROLYL 4-HYDROXYLASE SUBUNIT BETA,GO,EXTERNAL SIDE OF PLASMA MEMBRANE
OR6K2,OLFACTORY RECEPTOR FAMILY 6 SUBFAMILY K MEMBER 2,"HopkinsGroom,RussLampel,dGene",DRUGGABLE GENOME
OR6K2,OLFACTORY RECEPTOR FAMILY 6 SUBFAMILY K MEMBER 2,"HopkinsGroom,GO,dGene",G PROTEIN COUPLED RECEPTOR
PRSS46,"PROTEASE, SERINE 46","GO,dGene",PROTEASE
PRSS46,"PROTEASE, SERINE 46",dGene,DRUGGABLE GENOME
IFNA6,INTERFERON ALPHA 6,HingoraniCasas,DRUGGABLE GENOME
RFT1,RFT1 HOMOLOG,GO,TRANSPORTER
HSPB8,HEAT SHOCK PROTEIN FAMILY B (SMALL) MEMBER 8,dGene,DRUGGABLE GENOME
HSPB8,HEAT SHOCK PROTEIN FAMILY B (SMALL) MEMBER 8,dGene,SERINE THREONINE KINASE
MIPEP,MITOCHONDRIAL INTERMEDIATE PEPTIDASE,GO,NEUTRAL ZINC METALLOPEPTIDASE
MIPEP,MITOCHONDRIAL INTERMEDIATE PEPTIDASE,"GO,dGene",PROTEASE
MIPEP,MITOCHONDRIAL INTERMEDIATE PEPTIDASE,"RussLampel,dGene",DRUGGABLE GENOME
IL23A,INTERLEUKIN 23 SUBUNIT ALPHA,HingoraniCasas,DRUGGABLE GENOME
IL23A,INTERLEUKIN 23 SUBUNIT ALPHA,GO,KINASE
DHH,DESERT HEDGEHOG,"dGene,HingoraniCasas",DRUGGABLE GENOME
DHH,DESERT HEDGEHOG,"dGene,GO",PROTEASE
FOLR3,FOLATE RECEPTOR 3,HingoraniCasas,DRUGGABLE GENOME
HILPDA,HYPOXIA INDUCIBLE LIPID DROPLET ASSOCIATED,HingoraniCasas,DRUGGABLE GENOME
HILPDA,HYPOXIA INDUCIBLE LIPID DROPLET ASSOCIATED,GO,CELL SURFACE
ERMAP,ERYTHROBLAST MEMBRANE ASSOCIATED PROTEIN (SCIANNA BLOOD GROUP),HopkinsGroom,DRUGGABLE GENOME
ERMAP,ERYTHROBLAST MEMBRANE ASSOCIATED PROTEIN (SCIANNA BLOOD GROUP),HopkinsGroom,B30_2 SPRY DOMAIN
LTB4R2,LEUKOTRIENE B4 RECEPTOR 2,"HopkinsGroom,RussLampel,dGene,HingoraniCasas",DRUGGABLE GENOME
LTB4R2,LEUKOTRIENE B4 RECEPTOR 2,"HopkinsGroom,GO,dGene,GuideToPharmacologyGenes",G PROTEIN COUPLED RECEPTOR
CACNG8,CALCIUM VOLTAGE-GATED CHANNEL AUXILIARY SUBUNIT GAMMA 8,GO,ION CHANNEL
CACNG8,CALCIUM VOLTAGE-GATED CHANNEL AUXILIARY SUBUNIT GAMMA 8,GO,TRANSPORTER
CACNG8,CALCIUM VOLTAGE-GATED CHANNEL AUXILIARY SUBUNIT GAMMA 8,HingoraniCasas,DRUGGABLE GENOME
APPL2,"ADAPTOR PROTEIN, PHOSPHOTYROSINE INTERACTING WITH PH DOMAIN AND LEUCINE ZIPPER 2",dGene,PROTEASE INHIBITOR
APPL2,"ADAPTOR PROTEIN, PHOSPHOTYROSINE INTERACTING WITH PH DOMAIN AND LEUCINE ZIPPER 2",dGene,DRUGGABLE GENOME
OR5B17,OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY B MEMBER 17,"RussLampel,dGene,HopkinsGroom",DRUGGABLE GENOME
OR5B17,OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY B MEMBER 17,"dGene,HopkinsGroom,GO",G PROTEIN COUPLED RECEPTOR
SOX17,SRY-BOX 17,MskImpact,CLINICALLY ACTIONABLE
SOX17,SRY-BOX 17,GO,TRANSCRIPTION FACTOR COMPLEX
SOX17,SRY-BOX 17,GO,TRANSCRIPTION FACTOR BINDING
IGLV4-69,IMMUNOGLOBULIN LAMBDA VARIABLE 4-69,HingoraniCasas,DRUGGABLE GENOME
POM121,POM121 TRANSMEMBRANE NUCLEOPORIN,GO,TRANSPORTER
NCR3,NATURAL CYTOTOXICITY TRIGGERING RECEPTOR 3,HingoraniCasas,DRUGGABLE GENOME
SLC24A5,SOLUTE CARRIER FAMILY 24 MEMBER 5,"GuideToPharmacologyGenes,GO",TRANSPORTER
SLC24A5,SOLUTE CARRIER FAMILY 24 MEMBER 5,GuideToPharmacologyGenes,EXCHANGER
SLC24A5,SOLUTE CARRIER FAMILY 24 MEMBER 5,GO,ION CHANNEL
ALDH16A1,ALDEHYDE DEHYDROGENASE 16 FAMILY MEMBER A1,"RussLampel,HingoraniCasas,HopkinsGroom",DRUGGABLE GENOME
CDKL4,CYCLIN DEPENDENT KINASE LIKE 4,"dGene,GuideToPharmacologyGenes,GO",SERINE THREONINE KINASE
CDKL4,CYCLIN DEPENDENT KINASE LIKE 4,"dGene,HopkinsGroom,HingoraniCasas",DRUGGABLE GENOME
CDKL4,CYCLIN DEPENDENT KINASE LIKE 4,"HopkinsGroom,GuideToPharmacologyGenes,GO",KINASE
CDKL4,CYCLIN DEPENDENT KINASE LIKE 4,GO,TUMOR SUPPRESSOR
CPA3,CARBOXYPEPTIDASE A3,"RussLampel,dGene,HopkinsGroom,HingoraniCasas",DRUGGABLE GENOME
CPA3,CARBOXYPEPTIDASE A3,"dGene,GuideToPharmacologyGenes,GO,HopkinsGroom",PROTEASE
CPA3,CARBOXYPEPTIDASE A3,"GuideToPharmacologyGenes,GO",NEUTRAL ZINC METALLOPEPTIDASE
UQCRH,UBIQUINOL-CYTOCHROME C REDUCTASE HINGE PROTEIN,GO,TRANSPORTER
HACD3,3-HYDROXYACYL-COA DEHYDRATASE 3,GO,SERINE THREONINE KINASE
HACD3,3-HYDROXYACYL-COA DEHYDRATASE 3,GO,KINASE
DUSP11,DUAL SPECIFICITY PHOSPHATASE 11,"HopkinsGroom,GO,dGene",PROTEIN PHOSPHATASE
DUSP11,DUAL SPECIFICITY PHOSPHATASE 11,"HopkinsGroom,dGene",DRUGGABLE GENOME
YEATS4,YEATS DOMAIN CONTAINING 4,GO,HISTONE MODIFICATION
TMX4,THIOREDOXIN RELATED TRANSMEMBRANE PROTEIN 4,HopkinsGroom,THIOREDOXIN
TMX4,THIOREDOXIN RELATED TRANSMEMBRANE PROTEIN 4,"HopkinsGroom,RussLampel",DRUGGABLE GENOME
KRT18,KERATIN 18,HingoraniCasas,DRUGGABLE GENOME
IDNK,"IDNK, GLUCONOKINASE",GO,KINASE
PLGLB1,PLASMINOGEN-LIKE B1,HingoraniCasas,DRUGGABLE GENOME
H6PD,HEXOSE-6-PHOSPHATE DEHYDROGENASE/GLUCOSE 1-DEHYDROGENASE,HingoraniCasas,DRUGGABLE GENOME
PTPN12,"PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 12","HopkinsGroom,RussLampel,dGene,HingoraniCasas",DRUGGABLE GENOME
PTPN12,"PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 12","HopkinsGroom,GO,dGene",PROTEIN PHOSPHATASE
DNASE1L3,DEOXYRIBONUCLEASE 1 LIKE 3,"RussLampel,HingoraniCasas",DRUGGABLE GENOME
AGTRAP,ANGIOTENSIN II RECEPTOR ASSOCIATED PROTEIN,GO,G PROTEIN COUPLED RECEPTOR
CPQ,CARBOXYPEPTIDASE Q,GO,NEUTRAL ZINC METALLOPEPTIDASE
CPQ,CARBOXYPEPTIDASE Q,"GO,dGene",PROTEASE
CPQ,CARBOXYPEPTIDASE Q,"HingoraniCasas,dGene",DRUGGABLE GENOME
USP17L8,UBIQUITIN SPECIFIC PEPTIDASE 17-LIKE FAMILY MEMBER 8,GO,PROTEASE
PIM1,"PIM-1 PROTO-ONCOGENE, SERINE/THREONINE KINASE","dGene,GO,GuideToPharmacologyGenes",SERINE THREONINE KINASE
PIM1,"PIM-1 PROTO-ONCOGENE, SERINE/THREONINE KINASE","dGene,HingoraniCasas,RussLampel,HopkinsGroom",DRUGGABLE GENOME
PIM1,"PIM-1 PROTO-ONCOGENE, SERINE/THREONINE KINASE","GO,GuideToPharmacologyGenes,HopkinsGroom",KINASE
PIM1,"PIM-1 PROTO-ONCOGENE, SERINE/THREONINE KINASE",GO,TUMOR SUPPRESSOR
PIM1,"PIM-1 PROTO-ONCOGENE, SERINE/THREONINE KINASE",GO,TRANSCRIPTION FACTOR BINDING
PIM1,"PIM-1 PROTO-ONCOGENE, SERINE/THREONINE KINASE",MskImpact,CLINICALLY ACTIONABLE
ADAMTSL4,ADAMTS LIKE 4,GO,PROTEASE
ADAMTSL4,ADAMTS LIKE 4,HingoraniCasas,DRUGGABLE GENOME
GPC5,GLYPICAN 5,HingoraniCasas,DRUGGABLE GENOME
DEFA5,DEFENSIN ALPHA 5,HingoraniCasas,DRUGGABLE GENOME
NPAS2,NEURONAL PAS DOMAIN PROTEIN 2,GO,TRANSCRIPTION FACTOR COMPLEX
NPAS2,NEURONAL PAS DOMAIN PROTEIN 2,GO,DNA REPAIR
SERPINB8,SERPIN FAMILY B MEMBER 8,"HingoraniCasas,dGene,HopkinsGroom,RussLampel",DRUGGABLE GENOME
SERPINB8,SERPIN FAMILY B MEMBER 8,"dGene,GO,HopkinsGroom",PROTEASE INHIBITOR
SERPINB8,SERPIN FAMILY B MEMBER 8,GO,PROTEASE
CBX8,CHROMOBOX 8,GO,DNA REPAIR
CBX8,CHROMOBOX 8,GO,HISTONE MODIFICATION
DEPTOR,DEP DOMAIN CONTAINING MTOR INTERACTING PROTEIN,GO,KINASE
RRAD,"RRAD, RAS RELATED GLYCOLYSIS INHIBITOR AND CALCIUM CHANNEL REGULATOR",GO,ION CHANNEL
RRAD,"RRAD, RAS RELATED GLYCOLYSIS INHIBITOR AND CALCIUM CHANNEL REGULATOR",GO,TRANSPORTER
SACS,SACSIN MOLECULAR CHAPERONE,HopkinsGroom,DRUGGABLE GENOME
BHLHE41,BASIC HELIX-LOOP-HELIX FAMILY MEMBER E41,GO,TRANSCRIPTION FACTOR BINDING
OR5A1,OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY A MEMBER 1,"HopkinsGroom,GO,dGene",G PROTEIN COUPLED RECEPTOR
OR5A1,OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY A MEMBER 1,"HopkinsGroom,RussLampel,dGene",DRUGGABLE GENOME
NECTIN3,NECTIN CELL ADHESION MOLECULE 3,HingoraniCasas,DRUGGABLE GENOME
KCNJ18,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY J MEMBER 18,GO,TRANSPORTER
KCNJ18,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY J MEMBER 18,GO,ION CHANNEL
LAMTOR2,"LATE ENDOSOMAL/LYSOSOMAL ADAPTOR, MAPK AND MTOR ACTIVATOR 2",GO,SERINE THREONINE KINASE
LAMTOR2,"LATE ENDOSOMAL/LYSOSOMAL ADAPTOR, MAPK AND MTOR ACTIVATOR 2",GO,KINASE
LAMTOR2,"LATE ENDOSOMAL/LYSOSOMAL ADAPTOR, MAPK AND MTOR ACTIVATOR 2",GO,TUMOR SUPPRESSOR
GDPD5,GLYCEROPHOSPHODIESTER PHOSPHODIESTERASE DOMAIN CONTAINING 5,GO,TUMOR SUPPRESSOR
PTPRC,"PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE C","dGene,GuideToPharmacologyGenes,GO,HopkinsGroom",PROTEIN PHOSPHATASE
PTPRC,"PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE C","dGene,RussLampel,HingoraniCasas,HopkinsGroom",DRUGGABLE GENOME
PTPRC,"PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE C",GO,CELL SURFACE
PTPRC,"PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE C",GO,KINASE
PTPRC,"PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE C",GO,TUMOR SUPPRESSOR
PTPRC,"PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE C",GO,EXTERNAL SIDE OF PLASMA MEMBRANE
LY6G6D,LYMPHOCYTE ANTIGEN 6 FAMILY MEMBER G6D,GO,EXTERNAL SIDE OF PLASMA MEMBRANE
LY6G6D,LYMPHOCYTE ANTIGEN 6 FAMILY MEMBER G6D,GO,CELL SURFACE
CYP24A1,CYTOCHROME P450 FAMILY 24 SUBFAMILY A MEMBER 1,"RussLampel,HingoraniCasas,HopkinsGroom",DRUGGABLE GENOME
